ticker,nome_empresa,url_ri,status,timestamp,metodo
ABEV3,Ambev,https://ri.ambev.com.br,sucesso,2026-08-12 21:59:28,original
ALOS3,Allos,https://ri.allos.com.br/,sucesso,2026-08-12 23:34:19,manual_final
ANIM3,Ânima Holding,https://ri.animaeducacao.com.br,sucesso,2026-08-12 22:45:55,mapa_manual
ASAI3,Assaí Atacadista,https://ri.assai.com.br,sucesso,2026-08-12 22:45:50,mapa_manual
AUAU3,Aura Minerals,https://www.auraminerals.com/investidores/,sucesso,2026-08-12 23:19:08,banco_final
AURE3,Auren Energia,https://ri.aurenenergia.com.br,sucesso,2026-08-12 22:00:06,original
AXIA3,Axia Value,https://ri.axia.com.br,sucesso,2026-08-12 22:00:07,original
AZZA3,Azza,https://ri.azza.com.br/,sucesso,2026-08-12 23:34:19,manual_final
B3SA3,B3,https://ri.b3.com.br,sucesso,2026-08-12 22:01:08,original
BBAS3,Banco do Brasil,https://ri.bb.com.br,sucesso,2026-08-12 22:45:57,mapa_manual
BBDC3,Bradesco,https://www.bradesco.com.br/ri,sucesso,2026-08-12 22:48:29,alternativo
BBDC4,Bradesco PN,https://www.bradescori.com.br/,sucesso,2026-08-12 23:19:18,banco_final
BBSE3,BB Seguridade,https://ri.bbseguridade.com.br/,sucesso,2026-08-12 23:34:19,manual_final
BEEF3,Minerva Foods,https://ri.minervafoods.com,sucesso,2026-08-12 22:46:00,mapa_manual
BPAC11,BTG Pactual,https://ri.btgpactual.com,sucesso,2026-08-12 22:45:58,mapa_manual
BRAP4,Bradespar,https://www.bradespar.com.br/,sucesso,2026-08-12 23:34:19,manual_final
BRAV3,Brava Energia,https://ri.bravaenergia.com,sucesso,2026-08-12 22:49:54,alternativo
BRKM5,Braskem,https://www.braskem.com.br/ri,sucesso,2026-08-12 22:50:31,alternativo
CBAV3,CBA,https://ri.cba.com.br,sucesso,2026-08-12 22:05:15,original
CEAB3,C&A Modas,https://ri.cea.com.br,sucesso,2026-08-12 22:46:05,mapa_manual
CMIG4,Cemig,https://ri.cemig.com.br,sucesso,2026-08-12 22:46:06,mapa_manual
CMIN3,CSN Mineração,https://ri.csn.com.br,sucesso,2026-08-12 22:46:08,mapa_manual
COGN3,Cogna,https://ri.cogna.com.br/,sucesso,2026-08-12 23:34:19,manual_final
CPFE3,CPFL Energia,https://ri.cpfl.com.br,sucesso,2026-08-12 22:46:12,mapa_manual
CPLE3,Copel,https://ri.copel.com,sucesso,2026-08-12 22:46:09,mapa_manual
CSAN3,Cosan,https://ri.cosan.com.br,sucesso,2026-08-12 22:08:13,original
CSMG3,Copasa,https://ri.copasa.com.br,sucesso,2026-08-12 22:08:31,original
CSNA3,CSN,https://ri.csn.com.br,sucesso,2026-08-12 22:08:38,original
CURY3,Cury,https://ri.cury.com.br/,sucesso,2026-08-12 23:34:19,manual_final
CVCB3,CVC Brasil,https://ri.cvc.com.br/,sucesso,2026-08-12 23:34:19,manual_final
CXSE3,Caixa Seguridade,https://ri.caixaseguridade.com.br,sucesso,2026-08-12 22:09:18,original
CYRE3,Cyrela,https://ri.cyrela.com.br/,sucesso,2026-08-12 23:34:19,manual_final
DIRR3,Direcional,https://ri.direcional.com.br,sucesso,2026-08-12 22:10:41,original
ECOR3,EcoRodovias,https://ri.ecorodovias.com.br,sucesso,2026-08-12 22:10:56,original
EGIE3,Engie Brasil,https://ri.engie.com.br/,sucesso,2026-08-12 23:34:19,manual_final
EMBJ3,Embraer,https://ri.embraer.com.br,sucesso,2026-08-12 22:11:37,original
ENEV3,Eneva,https://ri.eneva.com.br,sucesso,2026-08-12 22:11:45,original
ENGI11,Energisa,https://ri.energisa.com.br,sucesso,2026-08-12 22:11:49,original
EQTL3,Equatorial,https://ri.equatorialenergia.com.br,sucesso,2026-08-12 22:46:44,mapa_manual
EZTC3,EZTec,https://ri.eztec.com.br,sucesso,2026-08-12 22:12:23,original
FLRY3,Fleury,https://ri.fleury.com.br,sucesso,2026-08-12 22:12:29,original
GGBR4,Gerdau,https://ri.gerdau.com,sucesso,2026-08-12 22:46:46,mapa_manual
GGPS3,GPS,https://ri.gps.com.br/,sucesso,2026-08-12 23:34:19,manual_final
GMAT3,Grupo Mateus,https://ri.grupomateus.com.br,sucesso,2026-08-12 22:13:07,original
GOAU4,Metalúrgica Gerdau,https://ri.gerdau.com,sucesso,2026-08-12 22:46:47,mapa_manual
